Title,Subtitle,Author,Link
Debt,The First 5000 years,David Graeber,https://theanarchistlibrary.org/library/david-graeber-debt
The Autobiography of Malcolm X,As told to Alex Haley,Alex Haley,https://www.academia.edu/38042542/The_Autobiography_of_Malcolm_X_As_Told_to_Alex_Haley_pdf
